"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
"Chicago Ave & Sheridan Rd",1560,"42.05048900316467","-87.67782054318327","5334"
"Broadway & Ridge Ave",409,"41.984036182095835","-87.66029468944194","5327"
"State St & 35th St",1770,"41.831044970429105","-87.62683565575861","5306"
"Emerald Ave & 31st St",1853,"41.83820329205569","-87.645137459728","5254"
"Ashland Ave & Grand Ave",384,"41.891073939935104","-87.66662939098376","5235"
"Blue Island Ave & 18th St",297,"41.857536762608156","-87.66154969639194","5227"
"Wentworth Ave & Cermak Rd*",1865,"41.853203733712846","-87.63187637874528","5225"
"Lincoln Ave & Belle Plaine Ave",1836,"41.95600571457963","-87.68018859594385","5034"
"Leavitt St & North Ave",1795,"41.910367025228574","-87.68232287860657","5026"
"Logan Blvd & Elston Ave",1808,"41.92945595066233","-87.68416214895082","4995"
"Fort Dearborn Dr & 31st St*",1864,"41.83862607541362","-87.60881207107963","4959"
"Humboldt Blvd & Armitage Ave",430,"41.91750871292758","-87.70180284124693","4945"
"Calumet Ave & 21st St",404,"41.854173200557575","-87.61918638776389","4935"
"Artesian Ave & Hubbard St",435,"41.88950598838027","-87.68823287406298","4910"
"Leavitt St & Chicago Ave",477,"41.895481768218374","-87.68198658233487","4908"
"Stave St & Armitage Ave",346,"41.917734228021736","-87.69142071786989","4887"
"Damen Ave & Wellington Ave",347,"41.93588930580721","-87.67842436329414","4831"
"Shields Ave & 31st St",1595,"41.83845976891114","-87.63542606250148","4773"
"California Ave & Francis Pl",343,"41.918520135938365","-87.69742925565406","4761"
"Sedgwick St & Schiller St",1779,"41.907624092241406","-87.6385614989245","4732"
"Damen Ave & Clybourn Ave",349,"41.9319213598074","-87.67783941645388","4654"
"Lincoln Ave & Byron St",653,"41.952373260793365","-87.67727983272263","4642"
"Kedzie Ave & Palmer Ct",357,"41.92152823225248","-87.70732454703736","4602"
"Sheridan Rd & Loyola Ave",1695,"42.00106552493841","-87.66121543112122","4559"
"Leavitt St & Belmont Ave",1677,"41.93934979986069","-87.68326042019402","4553"
"Wentworth Ave & Cermak Rd",279,"41.85309355300499","-87.63192615880337","4538"
"Drexel Ave & 60th St",651,"41.78584653825067","-87.60456977096197","4487"
"Griffin Museum of Science and Industry",1619,"41.79173135114538","-87.58394775745442","4465"
"Wood St & Hubbard St",383,"41.889868600269125","-87.67153846376297","4457"
"Morgan Ave & 14th Pl",1728,"41.86238965895359","-87.65108905605942","4440"
"Leavitt St & Division St",1220,"41.90299675132528","-87.68380200152207","4438"
"Paulina St & 18th St",1787,"41.857902272745385","-87.66872097165361","4436"
"Halsted St & 18th St",288,"41.85752123180665","-87.64600752027224","4388"
"Lincoln Ave & Waveland Ave",339,"41.94879651702579","-87.67527398989617","4384"
"Ravenswood Ave & Berteau Ave",1830,"41.957888767490694","-87.67357638202446","4275"
"Indiana Ave & 31st St",1810,"41.838826640623985","-87.62188553196151","4264"
"Western Ave & Fillmore St",1196,"41.868590335577245","-87.68622966789081","4135"
"Glenwood Ave & Morse Ave",1674,"42.00797008483936","-87.6654896035986","4122"
"Clark St & Lunt Ave",1669,"42.00899547398128","-87.67415066418843","4043"
"California Ave & North Ave",342,"41.91004353885798","-87.69716115536136","4002"
"Damen Ave & Melrose Ave",302,"41.94057547939693","-87.67851106106914","3980"
"Damen Ave & Foster Ave",1661,"41.97555640601102","-87.68010244609778","3950"
"Morgan St & 31st St",1814,"41.83779417741338","-87.65113892087594","3924"
"Indiana Ave & 26th St",1746,"41.845690294885664","-87.62248908712681","3923"
"Damen Ave & Sunnyside Ave",1827,"41.963251425016665","-87.67927528559665","3888"
"Milwaukee Ave & Rockwell St",333,"41.92021641235848","-87.69266630667063","3867"
